Zone,Disponibilité alimentaire (Kcal/personne/jour),Balance Commerciale,Exportations - Quantité,Importations - Quantité,Production,Variation de stock,Population total,"Pib Per hab (2018, $)",Stabilité politique
Pologne,107.0,970.0,1025.0,55.0,2351.0,225.0,37921592.0,15504.58,0.55
Polynésie française,167.0,-15.0,0.0,15.0,1.0,0.0,277679.0,20614.9,0.11
Portugal,109.0,-38.0,44.0,82.0,361.0,74.0,10256193.0,23562.55,1.14
Pérou,62.0,-59.0,1.0,60.0,1465.0,0.0,31989260.0,6912.11,-0.26
Roumanie,66.0,-77.0,69.0,146.0,392.0,88.0,19506114.0,12494.48,0.06
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,120.0,-420.0,359.0,779.0,1814.0,0.0,67141684.0,43306.31,0.05
Rwanda,5.0,0.0,0.0,0.0,19.0,0.0,12301970.0,769.44,0.12
République centrafricaine,8.0,-4.0,0.0,4.0,7.0,0.0,4666368.0,435.93,-2.28
République de Corée,62.0,-131.0,6.0,137.0,838.0,115.0,51171706.0,33436.92,0.54
République de Moldova,55.0,-16.0,0.0,16.0,54.0,5.0,4051944.0,4232.21,-0.35
République dominicaine,123.0,-36.0,6.0,42.0,339.0,0.0,10627141.0,7947.16,0.03
République démocratique populaire lao,41.0,0.0,0.0,0.0,0.0,0.0,7061507.0,2553.36,0.42
République populaire démocratique de Corée,8.0,0.0,0.0,0.0,43.0,0.0,25549604.0,1210.0,-0.35
République-Unie de Tanzanie,6.0,-2.0,0.0,2.0,105.0,0.0,56313438.0,1010.94,-0.56
Saint-Kitts-et-Nevis,190.0,-4.0,0.0,4.0,0.0,0.0,52441.0,22547.92,0.71
Saint-Vincent-et-les Grenadines,243.0,-9.0,0.0,9.0,0.0,1.0,110211.0,8399.69,0.85
Sainte-Lucie,241.0,-10.0,0.0,10.0,1.0,0.0,181889.0,11563.84,1.01
Samoa,217.0,-17.0,0.0,17.0,0.0,2.0,196129.0,4188.99,1.19
Sao Tomé-et-Principe,33.0,-2.0,0.0,2.0,1.0,1.0,211028.0,1950.63,0.53
Serbie,35.0,-5.0,7.0,12.0,85.0,0.0,8802754.0,7252.4,0.08
Sierra Leone,10.0,-14.0,0.0,14.0,17.0,0.0,7650150.0,519.65,-0.03
Slovaquie,48.0,-28.0,35.0,63.0,71.0,26.0,5453014.0,19486.39,0.75
Slovénie,83.0,9.0,29.0,20.0,72.0,11.0,2077837.0,26123.75,0.91
Soudan,5.0,-2.0,0.0,2.0,67.0,0.0,41801533.0,769.87,-1.84
Sri Lanka,26.0,2.0,2.0,0.0,192.0,-1.0,21228763.0,4360.58,-0.18
Suisse,55.0,-47.0,4.0,51.0,91.0,5.0,8525611.0,85217.37,1.34
Suriname,112.0,-13.0,5.0,18.0,10.0,-2.0,575990.0,6730.85,0.08
Suède,61.0,-61.0,23.0,84.0,157.0,31.0,9971638.0,54589.06,0.91
